月,テーマ,週,週テーマ,日,テーマ,インプット,ハンズオン,補足,
1,"AI Mastery & Visual Logic

AIを画工として従え、
デザインを論理（Science）で
支配する",1,"AIの完全掌握と
デザインの基礎理論",1,デザインは「設計」である,Art（自己表現）とDesign（課題解決）の違いを定義し、視線誘導（F/Zの法則）や認知負荷の概念を学ぶ。,既存の有名広告をAIに分析させ、視覚心理学の観点から「なぜ優れているか」を言語化させる。,,
,,,,2,生成AI（Nano Banana Pro）の完全制御,プロンプト技術による照明・画角・スタイルの指定と、シード値固定によるトーンの統一を学ぶ。,「サイバーパンクな浮世絵」など複雑な概念を正確に出力する訓練。,,
,,,,3,感情をハックする色彩と文字,色彩心理学が購買意欲に与える影響と、フォントが持つ性格診断を学ぶ。,特定のペルソナに刺さる「配色パレット」と「フォント」の組み合わせをAIに提案させる。,,
,,,,4,ブランド・アイデンティティのシステム化,ロゴ作成のレギュレーションとトンマナ（世界観）の言語化手法を学ぶ。,ブランドコンセプトからAIで50パターンのロゴ案を生成し、実用化する工程を体験する。,,
,,,,5,"Figmaによる骨格設計
（Wireframing）",Figmaの基本操作と、構成案を画面（ワイヤーフレーム）に落とし込む重要性を学ぶ。,FigmaのAIプラグインを使用し、テキスト指示からワイヤーフレームを自動生成して時短を図る。,,
,,2,"UI/UXの科学と
高度なクリエイティブ制作",6,Atomic Designとコンポーネント指向,パーツの再利用（部品化）による一貫性のあるUI構築手法を学ぶ。,ボタンのホバー時やエラー時などのバリエーションをAIに一括生成させる。,,
,,,,7,"成約率を科学する
（The Science of CRO）",CTA（行動喚起）の配置やEFO（入力フォーム最適化）の鉄則を学ぶ。,視線予測AIにデザインを読み込ませ、ユーザーの注目点をシミュレーションして修正する。,,
,,,,8,モバイルファースト戦略とレスポンシブ,スマホの可動域（サムゾーン）や、PC版との優先順位の違いを学ぶ。,PC版のデザインを元に、スマホ版レイアウト案をAIに自動変換・再配置させる。,,
,,,,9,"現実を拡張する写真加工
（Canva × AI）",Canvaの「生成塗りつぶし」を用いた背景拡張や不要オブジェクトの削除技術を学ぶ。,自撮りや商品写真を、スタジオ撮影レベルの照明・背景にAIで差し替える。,,
,,,,10,SNS特化型デザインの高速量産,クリックされる構図のパターン化と、Canva×AIの活用フローを習得する。,1つのマスターから、サイズ・文言違いのバナー数十枚をAIで一括生成（Bulk Create）する。,,
